,POSTAL_CODE,NUTS3_ID,NUTS1_NAME,NUTS2_NAME,NUTS3_NAME,RLK2022,KTU2022
70,52159,DEA2D,Nordrhein-Westfalen,Köln,Städteregion Aachen,sehr zentral,Städtischer Kreis
71,52349,DEA26,Nordrhein-Westfalen,Köln,Düren,sehr zentral,Städtischer Kreis
72,52351,DEA26,Nordrhein-Westfalen,Köln,Düren,sehr zentral,Städtischer Kreis
73,52353,DEA26,Nordrhein-Westfalen,Köln,Düren,sehr zentral,Städtischer Kreis
74,52355,DEA26,Nordrhein-Westfalen,Köln,Düren,sehr zentral,Städtischer Kreis
75,50189,DEA27,Nordrhein-Westfalen,Köln,Rhein-Erft-Kreis,sehr zentral,Städtischer Kreis
76,53879,DEA28,Nordrhein-Westfalen,Köln,Euskirchen,sehr zentral,Städtischer Kreis
77,53881,DEA28,Nordrhein-Westfalen,Köln,Euskirchen,sehr zentral,Städtischer Kreis
78,51647,DEA2A,Nordrhein-Westfalen,Köln,Oberbergischer Kreis,sehr zentral,Städtischer Kreis
79,51789,DEA2A,Nordrhein-Westfalen,Köln,Oberbergischer Kreis,sehr zentral,Städtischer Kreis
80,51674,DEA2A,Nordrhein-Westfalen,Köln,Oberbergischer Kreis,sehr zentral,Städtischer Kreis
81,51688,DEA2A,Nordrhein-Westfalen,Köln,Oberbergischer Kreis,sehr zentral,Städtischer Kreis
82,51399,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,sehr zentral,Städtischer Kreis
83,48143,DEA33,Nordrhein-Westfalen,Münster,"Münster, Stadt",sehr zentral,kreisfreie Großstadt
84,48145,DEA33,Nordrhein-Westfalen,Münster,"Münster, Stadt",sehr zentral,kreisfreie Großstadt
85,48161,DEA33,Nordrhein-Westfalen,Münster,"Münster, Stadt",sehr zentral,kreisfreie Großstadt
86,48163,DEA33,Nordrhein-Westfalen,Münster,"Münster, Stadt",sehr zentral,kreisfreie Großstadt
87,48165,DEA33,Nordrhein-Westfalen,Münster,"Münster, Stadt",sehr zentral,kreisfreie Großstadt
88,52152,DEA2D,Nordrhein-Westfalen,Köln,Städteregion Aachen,sehr zentral,Städtischer Kreis
89,51429,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,sehr zentral,Städtischer Kreis
90,53347,DEA2C,Nordrhein-Westfalen,Köln,Rhein-Sieg-Kreis,sehr zentral,Städtischer Kreis
91,53859,DEA2C,Nordrhein-Westfalen,Köln,Rhein-Sieg-Kreis,sehr zentral,Städtischer Kreis
92,53757,DEA2C,Nordrhein-Westfalen,Köln,Rhein-Sieg-Kreis,sehr zentral,Städtischer Kreis
93,53913,DEA2C,Nordrhein-Westfalen,Köln,Rhein-Sieg-Kreis,sehr zentral,Städtischer Kreis
94,46359,DEA34,Nordrhein-Westfalen,Münster,Borken,sehr zentral,Städtischer Kreis
95,59394,DEA35,Nordrhein-Westfalen,Münster,Coesfeld,sehr zentral,Städtischer Kreis
96,48720,DEA35,Nordrhein-Westfalen,Münster,Coesfeld,sehr zentral,Städtischer Kreis
97,48496,DEA37,Nordrhein-Westfalen,Münster,Steinfurt,zentral,Städtischer Kreis
98,59302,DEA38,Nordrhein-Westfalen,Münster,Warendorf,zentral,Städtischer Kreis
99,58452,DEA56,Nordrhein-Westfalen,Arnsberg,Ennepe-Ruhr-Kreis,sehr zentral,Städtischer Kreis
100,58453,DEA56,Nordrhein-Westfalen,Arnsberg,Ennepe-Ruhr-Kreis,sehr zentral,Städtischer Kreis
101,58455,DEA56,Nordrhein-Westfalen,Arnsberg,Ennepe-Ruhr-Kreis,sehr zentral,Städtischer Kreis
102,58456,DEA56,Nordrhein-Westfalen,Arnsberg,Ennepe-Ruhr-Kreis,sehr zentral,Städtischer Kreis
103,59939,DEA57,Nordrhein-Westfalen,Arnsberg,Hochsauerlandkreis,zentral,Ländlicher Kreis mit Verdichtungsansätzen
104,58553,DEA58,Nordrhein-Westfalen,Arnsberg,Märkischer Kreis,sehr zentral,Städtischer Kreis
105,58579,DEA58,Nordrhein-Westfalen,Arnsberg,Märkischer Kreis,sehr zentral,Städtischer Kreis
106,57299,DEA5A,Nordrhein-Westfalen,Arnsberg,Siegen-Wittgenstein,zentral,Städtischer Kreis
107,57223,DEA5A,Nordrhein-Westfalen,Arnsberg,Siegen-Wittgenstein,zentral,Städtischer Kreis
108,57080,DEA5A,Nordrhein-Westfalen,Arnsberg,Siegen-Wittgenstein,zentral,Städtischer Kreis
109,59555,DEA5B,Nordrhein-Westfalen,Arnsberg,Soest,zentral,Städtischer Kreis
110,59556,DEA5B,Nordrhein-Westfalen,Arnsberg,Soest,zentral,Städtischer Kreis
111,59557,DEA5B,Nordrhein-Westfalen,Arnsberg,Soest,zentral,Städtischer Kreis
112,59558,DEA5B,Nordrhein-Westfalen,Arnsberg,Soest,zentral,Städtischer Kreis
113,59514,DEA5B,Nordrhein-Westfalen,Arnsberg,Soest,zentral,Städtischer Kreis
114,59368,DEA5C,Nordrhein-Westfalen,Arnsberg,Unna,sehr zentral,Städtischer Kreis
115,09117,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
116,09119,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
117,09122,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
118,09123,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
119,09125,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
120,09126,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
121,09127,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
122,09128,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
123,09130,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
124,09131,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
125,09224,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
126,09228,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
127,09247,DED41,Sachsen,Chemnitz,"Chemnitz, Stadt",sehr zentral,kreisfreie Großstadt
128,09518,DED42,Sachsen,Chemnitz,Erzgebirgskreis,peripher,Städtischer Kreis
129,19303,DE80O,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ludwigslust-Parchim,peripher,Dünn besiedelter ländlicher Kreis
130,19230,DE80O,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ludwigslust-Parchim,peripher,Dünn besiedelter ländlicher Kreis
131,19075,DE80O,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ludwigslust-Parchim,peripher,Dünn besiedelter ländlicher Kreis
132,06458,DEE09,Sachsen-Anhalt,Sachsen-Anhalt,Harz,peripher,Dünn besiedelter ländlicher Kreis
133,06317,DEE0A,Sachsen-Anhalt,Sachsen-Anhalt,Mansfeld-Südharz,peripher,Dünn besiedelter ländlicher Kreis
134,06318,DEE0A,Sachsen-Anhalt,Sachsen-Anhalt,Mansfeld-Südharz,peripher,Dünn besiedelter ländlicher Kreis
135,06536,DEE0A,Sachsen-Anhalt,Sachsen-Anhalt,Mansfeld-Südharz,peripher,Dünn besiedelter ländlicher Kreis
136,06547,DEE0A,Sachsen-Anhalt,Sachsen-Anhalt,Mansfeld-Südharz,peripher,Dünn besiedelter ländlicher Kreis
137,06231,DEE0B,Sachsen-Anhalt,Sachsen-Anhalt,Saalekreis,zentral,Ländlicher Kreis mit Verdichtungsansätzen
138,06268,DEE0B,Sachsen-Anhalt,Sachsen-Anhalt,Saalekreis,zentral,Ländlicher Kreis mit Verdichtungsansätzen
139,06217,DEE0B,Sachsen-Anhalt,Sachsen-Anhalt,Saalekreis,zentral,Ländlicher Kreis mit Verdichtungsansätzen
140,06249,DEE0B,Sachsen-Anhalt,Sachsen-Anhalt,Saalekreis,zentral,Ländlicher Kreis mit Verdichtungsansätzen
141,06193,DEE0B,Sachsen-Anhalt,Sachsen-Anhalt,Saalekreis,zentral,Ländlicher Kreis mit Verdichtungsansätzen
142,23881,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
143,21524,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
144,21527,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
145,23714,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,zentral,Ländlicher Kreis mit Verdichtungsansätzen
146,23717,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,zentral,Ländlicher Kreis mit Verdichtungsansätzen
147,23779,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,zentral,Ländlicher Kreis mit Verdichtungsansätzen
148,23683,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,zentral,Ländlicher Kreis mit Verdichtungsansätzen
149,23684,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,zentral,Ländlicher Kreis mit Verdichtungsansätzen
150,22880,DEF09,Schleswig-Holstein,Schleswig-Holstein,Pinneberg,sehr zentral,Städtischer Kreis
151,24245,DEF0A,Schleswig-Holstein,Schleswig-Holstein,Plön,peripher,Ländlicher Kreis mit Verdichtungsansätzen
152,24256,DEF0A,Schleswig-Holstein,Schleswig-Holstein,Plön,peripher,Ländlicher Kreis mit Verdichtungsansätzen
153,24119,DEF0B,Schleswig-Holstein,Schleswig-Holstein,Rendsburg-Eckernförde,peripher,Ländlicher Kreis mit Verdichtungsansätzen
154,23795,DEF0D,Schleswig-Holstein,Schleswig-Holstein,Segeberg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
155,23719,DEF0D,Schleswig-Holstein,Schleswig-Holstein,Segeberg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
156,23813,DEF0D,Schleswig-Holstein,Schleswig-Holstein,Segeberg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
157,23820,DEF0D,Schleswig-Holstein,Schleswig-Holstein,Segeberg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
158,22926,DEF0F,Schleswig-Holstein,Schleswig-Holstein,Stormarn,sehr zentral,Städtischer Kreis
159,06537,DEE0A,Sachsen-Anhalt,Sachsen-Anhalt,Mansfeld-Südharz,peripher,Dünn besiedelter ländlicher Kreis
160,23919,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
161,23628,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
162,23896,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
163,23909,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
164,23911,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
165,23715,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,zentral,Ländlicher Kreis mit Verdichtungsansätzen
166,23758,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,zentral,Ländlicher Kreis mit Verdichtungsansätzen
167,24326,DEF0A,Schleswig-Holstein,Schleswig-Holstein,Plön,peripher,Ländlicher Kreis mit Verdichtungsansätzen
168,24327,DEF0A,Schleswig-Holstein,Schleswig-Holstein,Plön,peripher,Ländlicher Kreis mit Verdichtungsansätzen
169,24329,DEF0A,Schleswig-Holstein,Schleswig-Holstein,Plön,peripher,Ländlicher Kreis mit Verdichtungsansätzen
170,24306,DEF0A,Schleswig-Holstein,Schleswig-Holstein,Plön,peripher,Ländlicher Kreis mit Verdichtungsansätzen
171,24239,DEF0B,Schleswig-Holstein,Schleswig-Holstein,Rendsburg-Eckernförde,peripher,Ländlicher Kreis mit Verdichtungsansätzen
172,24109,DEF0B,Schleswig-Holstein,Schleswig-Holstein,Rendsburg-Eckernförde,peripher,Ländlicher Kreis mit Verdichtungsansätzen
173,23826,DEF0D,Schleswig-Holstein,Schleswig-Holstein,Segeberg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
174,22941,DEF0F,Schleswig-Holstein,Schleswig-Holstein,Stormarn,sehr zentral,Städtischer Kreis
175,21509,DEF0F,Schleswig-Holstein,Schleswig-Holstein,Stormarn,sehr zentral,Städtischer Kreis
176,22927,DEF0F,Schleswig-Holstein,Schleswig-Holstein,Stormarn,sehr zentral,Städtischer Kreis
177,22967,DEF0F,Schleswig-Holstein,Schleswig-Holstein,Stormarn,sehr zentral,Städtischer Kreis
178,21762,DE932,Niedersachsen,Lüneburg,Cuxhaven,peripher,Dünn besiedelter ländlicher Kreis
179,21376,DE933,Niedersachsen,Lüneburg,Harburg,zentral,Städtischer Kreis
180,21228,DE933,Niedersachsen,Lüneburg,Harburg,zentral,Städtischer Kreis
181,21647,DE933,Niedersachsen,Lüneburg,Harburg,zentral,Städtischer Kreis
182,21218,DE933,Niedersachsen,Lüneburg,Harburg,zentral,Städtischer Kreis
183,21220,DE933,Niedersachsen,Lüneburg,Harburg,zentral,Städtischer Kreis
184,21274,DE933,Niedersachsen,Lüneburg,Harburg,zentral,Städtischer Kreis
185,21279,DE933,Niedersachsen,Lüneburg,Harburg,zentral,Städtischer Kreis
186,21365,DE935,Niedersachsen,Lüneburg,Lüneburg,zentral,Dünn besiedelter ländlicher Kreis
187,21385,DE935,Niedersachsen,Lüneburg,Lüneburg,zentral,Dünn besiedelter ländlicher Kreis
188,21386,DE935,Niedersachsen,Lüneburg,Lüneburg,zentral,Dünn besiedelter ländlicher Kreis
189,21409,DE935,Niedersachsen,Lüneburg,Lüneburg,zentral,Dünn besiedelter ländlicher Kreis
190,21394,DE935,Niedersachsen,Lüneburg,Lüneburg,zentral,Dünn besiedelter ländlicher Kreis
191,21335,DE935,Niedersachsen,Lüneburg,Lüneburg,zentral,Dünn besiedelter ländlicher Kreis
192,21337,DE935,Niedersachsen,Lüneburg,Lüneburg,zentral,Dünn besiedelter ländlicher Kreis
193,21339,DE935,Niedersachsen,Lüneburg,Lüneburg,zentral,Dünn besiedelter ländlicher Kreis
194,21717,DE939,Niedersachsen,Lüneburg,Stade,peripher,Ländlicher Kreis mit Verdichtungsansätzen
195,21712,DE939,Niedersachsen,Lüneburg,Stade,peripher,Ländlicher Kreis mit Verdichtungsansätzen
196,21732,DE939,Niedersachsen,Lüneburg,Stade,peripher,Ländlicher Kreis mit Verdichtungsansätzen
197,16352,DE405,Brandenburg,Brandenburg,Barnim,zentral,Ländlicher Kreis mit Verdichtungsansätzen
198,16565,DE40A,Brandenburg,Brandenburg,Oberhavel,zentral,Dünn besiedelter ländlicher Kreis
199,16918,DE40D,Brandenburg,Brandenburg,Ostprignitz-Ruppin,sehr peripher,Dünn besiedelter ländlicher Kreis
200,17094,DE80J,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte,sehr peripher,Dünn besiedelter ländlicher Kreis
201,17194,DE80J,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte,sehr peripher,Dünn besiedelter ländlicher Kreis
202,17033,DE80J,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte,sehr peripher,Dünn besiedelter ländlicher Kreis
203,17034,DE80J,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte,sehr peripher,Dünn besiedelter ländlicher Kreis
204,17036,DE80J,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte,sehr peripher,Dünn besiedelter ländlicher Kreis
205,17039,DE80J,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte,sehr peripher,Dünn besiedelter ländlicher Kreis
206,17348,DE80J,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte,sehr peripher,Dünn besiedelter ländlicher Kreis
207,18273,DE80K,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Landkreis Rostock,sehr peripher,Dünn besiedelter ländlicher Kreis
208,18236,DE80K,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Landkreis Rostock,sehr peripher,Dünn besiedelter ländlicher Kreis
209,18225,DE80K,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Landkreis Rostock,sehr peripher,Dünn besiedelter ländlicher Kreis
210,18299,DE80K,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Landkreis Rostock,sehr peripher,Dünn besiedelter ländlicher Kreis
211,18279,DE80K,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Landkreis Rostock,sehr peripher,Dünn besiedelter ländlicher Kreis
212,18190,DE80K,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Landkreis Rostock,sehr peripher,Dünn besiedelter ländlicher Kreis
213,18320,DE80L,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Rügen,sehr peripher,Dünn besiedelter ländlicher Kreis
214,18461,DE80L,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Rügen,sehr peripher,Dünn besiedelter ländlicher Kreis
215,18469,DE80L,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Rügen,sehr peripher,Dünn besiedelter ländlicher Kreis
216,18317,DE80L,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Rügen,sehr peripher,Dünn besiedelter ländlicher Kreis
217,23923,DE80M,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Nordwestmecklenburg,peripher,Ländlicher Kreis mit Verdichtungsansätzen
218,23999,DE80M,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Nordwestmecklenburg,peripher,Ländlicher Kreis mit Verdichtungsansätzen
219,17489,DE80N,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Greifswald,sehr peripher,Dünn besiedelter ländlicher Kreis
220,17491,DE80N,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Greifswald,sehr peripher,Dünn besiedelter ländlicher Kreis
221,17493,DE80N,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Greifswald,sehr peripher,Dünn besiedelter ländlicher Kreis
222,21521,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
223,22959,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
224,23883,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,zentral,Ländlicher Kreis mit Verdichtungsansätzen
225,23738,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,zentral,Ländlicher Kreis mit Verdichtungsansätzen
226,23730,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,zentral,Ländlicher Kreis mit Verdichtungsansätzen
227,23744,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,zentral,Ländlicher Kreis mit Verdichtungsansätzen
228,22869,DEF09,Schleswig-Holstein,Schleswig-Holstein,Pinneberg,sehr zentral,Städtischer Kreis
